# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-133004 050Mg 500NaCl #001-001
# Original file ID: F63FE83C-F34E-47A6-8137-5F22A6D5C57B
Bead-to-bead distance (um),Force (pN)
15.071,0.019765
15.07,-0.12437
15.067,-0.12542
15.071,-0.019314
15.086,-0.12481
15.086,-0.20688
15.103,-0.079415
15.12,-0.14187
15.125,0.13419
15.137,-0.14168
15.142,-0.089966
15.144,0.016907
15.152,-0.01339
15.168,0.032262
15.179,0.010401
15.181,0.04981
15.184,-0.12866
15.198,-0.01881
15.198,-0.15515
15.213,0.0008379
15.219,-0.0030477
15.228,-0.14951
15.239,-0.012626
15.253,0.051002
15.255,-0.054767
15.272,-0.12938
15.275,-0.37551
15.294,-0.0031466
15.292,-0.015765
15.306,0.11631
15.312,0.049364
15.322,0.020019
15.33,0.16864
15.338,-0.061112
15.348,0.020897
15.35,0.049295
15.349,0.23302
15.368,0.11577
15.367,-0.18878
15.383,0.04975
15.386,0.0063724
15.401,0.23647
15.415,0.17834
15.419,0.070318
15.43,0.23791
15.442,0.092582
15.441,-0.098529
15.438,0.39985
15.443,0.083263
15.46,0.028898
15.477,0.068925
15.48,-0.052357
15.495,-0.065336
15.507,0.080483
15.512,0.29052
15.522,0.14285
15.532,0.36093
15.54,0.22491
15.551,0.11164
15.549,0.32831
15.568,0.15665
15.569,0.28186
15.583,0.26663
15.586,0.30634
15.595,0.32524
15.608,0.36797
15.607,0.44237
15.606,0.31626
15.625,0.23552
15.627,0.29793
15.632,0.17196
15.643,0.13298
15.644,0.33626
15.66,0.48073
15.676,0.25488
15.679,0.31956
15.681,0.28139
15.687,0.26054
15.699,0.38945
15.698,0.37464
15.708,0.51407
15.728,0.40025
15.739,0.61007
15.738,0.3134
15.747,0.42976
15.769,0.29507
15.782,0.14694
15.792,0.39574
15.797,0.32767
15.811,0.24532
15.812,0.15702
15.831,0.28694
15.832,0.29254
15.847,0.22474
15.849,0.43825
15.861,0.44064
15.865,0.63927
15.876,0.59507
15.882,0.19681
15.884,0.41865
15.904,0.36453
15.901,0.35853
15.92,0.58096
15.923,0.45275
15.936,0.27164
15.939,0.47602
15.947,0.60816
15.959,0.53758
15.961,0.3921
15.976,0.27288
15.98,0.36285
15.994,0.55791
15.999,0.38249
16.009,0.20066
16.017,0.5278
16.014,0.21356
16.016,0.28998
16.032,0.45221
16.049,0.4354
16.048,0.33955
16.067,0.37626
16.072,0.27756
16.089,0.24044
16.1,0.30103
16.108,0.33105
16.117,0.28748
16.125,0.35998
16.125,0.39368
16.126,0.43103
16.133,0.16386
16.142,0.25051
16.142,0.36013
16.165,0.40011
16.176,0.32238
16.178,0.3774
16.192,0.25211
16.201,0.092883
16.208,0.14317
16.218,0.26645
16.22,0.34855
16.236,0.44569
16.236,0.36924
16.254,0.40506
16.256,0.20162
16.274,0.30782
16.276,-0.010398
16.275,0.12677
16.291,0.25495
16.294,0.45351
16.31,0.15217
16.32,0.16536
16.328,0.4767
16.335,0.14162
16.345,0.42127
16.349,0.18198
16.366,0.19341
16.368,0.39702
16.384,0.08966
16.388,0.28556
16.407,0.35157
16.403,0.18173
16.402,0.40129
16.404,0.34459
16.419,0.35421
16.421,0.28615
16.43,0.10601
16.44,0.20505
16.447,0.15928
16.466,0.45222
