# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-133614 050Mg 500NaCl #002-001
# Original file ID: 06732AAD-55F9-4C1E-B038-71F39937DD33
Bead-to-bead distance (um),Force (pN)
15.057,-0.090446
15.063,-0.0092083
15.078,-0.15768
15.079,-0.23521
15.098,-0.01094
15.097,-0.14089
15.116,-0.18975
15.115,-0.072302
15.133,-0.091203
15.132,-0.0083386
15.134,-0.011559
15.143,-0.003084
15.15,-0.042987
15.165,0.020691
15.174,0.021298
15.192,-0.063536
15.19,-0.042245
15.19,0.0010355
15.206,-0.20832
15.219,0.075428
15.227,0.15067
15.231,0.039122
15.245,0.076602
15.245,0.11926
15.246,0.13718
15.244,0.192
15.258,0.11004
15.264,0.039881
15.265,0.12553
15.281,0.2397
15.299,0.12354
15.301,0.052768
15.319,0.07531
15.32,-0.036533
15.33,-0.068011
15.339,-0.18093
15.348,0.034799
15.359,0.057078
15.369,0.018648
15.378,0.067133
15.378,0.14509
15.377,0.042403
15.396,0.18493
15.396,0.098692
15.414,0.093624
15.425,0.26695
15.432,0.056743
15.434,0.04464
15.441,0.021933
15.458,0.28987
15.471,0.13453
15.472,-0.036078
15.488,-0.10334
15.487,-0.099801
15.49,0.011251
15.507,0.079343
15.507,0.15652
15.506,0.20774
15.52,0.028346
15.527,-0.059621
15.535,0.027494
15.55,0.068968
15.562,0.067346
15.563,-0.020407
15.579,-0.020209
15.585,0.12538
15.598,-0.00031533
15.598,0.13035
15.616,0.2317
15.619,0.18759
15.635,0.025768
15.637,0.12983
15.651,-0.070375
15.654,0.29467
15.656,0.013726
15.656,-0.018227
15.674,0.020997
15.677,0.016875
15.694,0.28312
15.695,0.059374
15.693,-0.060559
15.712,-0.057222
15.728,0.17297
15.73,0.030033
15.744,-0.0090099
15.747,0.25374
15.75,-0.082086
15.75,0.049735
15.755,0.20525
15.767,0.17931
15.765,0.18629
15.781,-0.12423
15.795,0.2381
15.808,0.08231
15.813,0.12993
15.826,0.10152
15.83,0.28956
15.843,0.28762
15.843,0.13694
15.858,0.17745
15.859,0.012354
15.877,0.083506
15.881,0.1767
15.893,0.087251
15.899,0.018173
15.898,0.033291
15.908,-0.027291
15.917,-0.011958
15.921,-0.16725
15.936,0.23759
15.954,0.25263
15.952,0.15103
15.953,0.23543
15.953,0.035774
15.969,0.039537
15.985,0.16213
15.994,0.060804
15.999,0.26095
16.009,-0.006626
16.018,0.25927
16.027,0.27311
16.027,0.119
16.027,0.025924
16.047,-0.04029
16.062,0.19843
16.065,0.020721
16.08,0.0034972
16.085,0.078707
16.096,0.18489
16.103,0.2161
16.109,0.35005
16.119,0.061928
16.125,0.038724
16.138,-0.0526
16.141,-0.028895
16.158,0.18403
16.157,0.070761
16.157,0.26256
16.154,0.32616
16.164,0.23042
16.173,0.24101
16.179,0.076934
16.197,0.28406
16.212,0.11336
16.214,0.096448
16.231,0.10644
16.231,0.38608
16.248,0.14893
16.246,0.11415
16.264,0.04171
16.267,0.062025
16.283,0.15391
16.286,0.33309
16.288,0.34542
16.294,0.26458
16.304,0.2668
16.309,0.44319
16.323,0.25358
16.339,0.21305
16.34,0.46329
16.358,0.22576
16.361,0.52076
16.362,0.25003
16.37,0.32397
16.387,0.48878
16.396,0.37721
16.4,0.52541
16.415,0.38772
16.415,0.28791
16.413,0.25716
16.419,0.27403
16.436,0.2328
16.433,0.49317
16.451,0.28275
16.467,0.44299
16.472,0.42809
16.482,0.23845
16.491,0.31228
16.497,0.34592
16.51,0.23917
16.517,0.3713
16.53,0.44515
16.532,0.46878
16.546,0.37043
16.544,0.366
16.546,0.40264
16.565,0.44997
16.566,0.35521
16.582,0.20653
16.596,0.32672
16.604,0.23371
16.61,0.1113
16.62,0.15764
16.619,0.40667
16.624,0.12256
16.642,0.47116
16.657,0.61111
16.656,0.21067
16.673,0.33619
16.676,0.39589
16.676,0.49939
16.674,0.4352
16.687,0.19945
16.692,0.31134
16.707,0.39585
16.718,0.41455
16.735,0.27648
16.737,0.21875
16.75,0.58406
16.759,0.36049
16.768,0.43686
16.776,0.4593
16.785,0.30752
16.791,0.28685
16.807,0.46507
16.807,0.44799
16.808,0.40872
16.823,0.26419
16.841,0.25656
16.843,0.39817
16.856,0.43261
16.863,0.42016
16.872,0.2891
16.879,0.061946
16.89,0.27983
16.904,0.44207
16.918,0.47738
16.916,0.39142
16.922,0.19891
16.936,0.27986
16.938,0.33683
16.954,0.22535
16.954,0.35005
16.967,0.28822
16.978,0.41211
16.994,0.48057
16.996,0.40898
17.01,0.39106
17.013,0.63698
17.029,0.40257
17.027,0.3749
17.048,0.22707
17.048,0.16314
17.065,0.37008
17.067,0.44057
17.082,0.45251
17.086,0.1832
17.083,0.3002
17.094,0.43688
17.104,0.35546
17.111,0.33711
17.121,0.27393
17.124,0.41097
17.14,0.4289
17.155,0.11229
17.157,0.27447
17.159,0.32648
17.169,0.33985
17.178,0.39133
17.187,0.40411
17.199,0.19854
17.214,0.63359
17.215,0.4366
17.233,0.29105
17.233,0.32102
17.234,0.38674
17.247,0.3997
17.253,0.37403
17.262,0.44437
17.273,0.28091
17.278,0.27949
17.289,0.50062
17.295,0.46302
17.308,0.44087
17.309,0.45255
17.327,0.38556
17.327,0.44114
17.343,0.24062
17.343,0.43427
17.344,0.4953
17.359,0.50253
17.364,0.39968
17.371,0.53998
17.387,0.40187
17.396,0.48279
17.402,0.64867
17.415,0.60611
17.419,0.47212
17.419,0.53285
17.435,0.39048
17.45,0.6077
17.453,0.40488
17.468,0.49504
17.47,0.79946
17.472,0.82232
17.475,0.6871
17.488,0.58529
17.493,0.93653
17.505,0.82493
17.521,0.8033
17.523,0.94247
17.537,0.77172
17.543,0.74307
17.548,0.59419
17.56,0.91491
17.564,0.78196
17.577,0.93109
17.579,0.91847
17.595,0.88045
17.597,0.92951
17.598,1.0568
17.607,0.96196
17.616,0.95976
17.616,1.0754
17.634,0.92136
17.651,1.0272
17.651,1.1859
17.67,0.92103
17.671,0.94865
17.669,1.2677
17.684,1.2807
17.701,1.1279
17.704,1.1009
17.722,1.2716
17.724,1.1496
17.722,1.1708
17.736,1.1515
17.744,1.1612
17.76,1.1746
17.76,1.3137
17.779,1.3654
17.778,1.2986
17.792,1.4285
17.794,1.3681
17.809,1.3535
17.814,1.37
17.825,1.5141
17.834,1.474
17.839,1.5332
17.85,1.703
17.851,1.3442
17.852,1.5722
17.871,1.4965
17.868,1.4631
17.885,1.4739
17.885,1.4909
17.899,1.5494
17.916,1.8322
17.923,1.535
17.929,1.5254
17.94,1.6858
17.94,1.64
17.96,1.688
17.976,1.7167
17.973,1.5236
17.994,1.9707
17.997,1.6785
17.994,1.7054
18.004,1.8485
18.02,1.8658
18.03,1.8439
18.035,1.9336
18.049,1.7967
18.053,1.9174
18.066,2.1173
18.064,2.0297
18.086,2.0231
18.086,1.9262
18.104,2.2659
18.105,2.2482
18.117,2.0323
18.122,2.1997
18.133,2.3952
18.141,2.2824
18.139,2.0266
18.142,2.1473
18.159,2.1425
18.158,2.2871
18.154,2.3342
18.162,2.5204
18.178,2.425
18.192,2.2731
18.196,2.4522
18.207,2.5522
18.215,2.3474
18.224,2.3998
18.236,2.5506
18.241,2.2815
18.254,2.4969
18.254,2.4915
18.256,2.4428
18.27,2.4483
18.288,2.8381
18.291,2.6393
18.301,3.0013
18.309,2.6249
18.314,2.8012
18.333,2.7663
18.334,2.804
18.331,2.6265
18.35,2.7893
18.364,3.075
18.364,2.6559
18.38,2.6093
18.382,2.8334
18.385,2.9193
18.384,2.8752
18.395,2.8731
18.401,2.9012
18.408,3.2175
18.423,3.1479
18.437,3.3021
18.441,3.1749
18.455,3.1757
18.455,3.1658
18.474,3.2641
18.475,3.5654
18.484,3.4232
18.491,3.5291
18.505,3.6474
18.51,3.5129
18.51,3.2884
18.515,3.5874
18.531,3.6786
18.529,3.9846
18.548,3.7094
18.561,3.4429
18.563,3.8095
18.567,3.9007
18.577,4.2101
18.593,4.0138
18.601,4.07
18.597,4.1771
18.603,4.03
18.617,4.5018
18.62,4.2319
18.633,4.099
18.634,4.5658
18.653,4.5041
18.659,4.4623
18.668,4.6076
18.682,4.664
18.683,4.8312
18.691,4.7596
18.701,4.8313
18.708,4.9249
18.72,5.0114
18.723,4.9285
18.734,5.1559
18.736,5.1576
18.754,5.255
18.754,5.2363
18.754,5.3733
18.77,5.6873
18.772,5.4944
18.784,5.6957
18.788,5.8161
18.793,6.0178
18.81,6.1342
18.822,5.797
18.819,6.1022
18.82,6.5979
18.836,6.3748
18.857,6.4479
18.857,6.4029
18.87,6.5468
18.874,6.9059
18.88,6.8348
18.888,7.2279
18.89,7.4312
18.905,7.2961
18.921,7.4665
18.921,7.5252
18.939,7.594
18.941,7.8368
18.957,8.1734
18.955,8.1733
18.965,8.3426
18.968,8.4135
18.979,8.472
18.99,8.8772
18.991,8.8007
19.004,8.6287
19.007,8.9276
19.005,9.083
19.022,9.3295
19.023,9.3485
19.031,9.5879
19.038,9.7926
19.047,10.012
19.057,10.01
19.069,10.483
19.074,10.434
19.085,10.372
19.084,10.511
19.084,10.689
19.084,11.022
19.098,11.046
19.114,11.319
19.119,11.249
19.117,11.569
19.124,12.029
19.14,12.181
19.146,12.36
19.151,12.437
19.162,12.814
19.165,12.676
19.177,13.185
19.181,13.191
19.193,13.732
19.195,13.78
19.206,14.117
19.208,14.392
19.217,14.197
19.225,14.478
19.22,14.696
19.229,14.755
19.238,15.173
19.237,15.074
19.252,15.7
19.254,15.757
19.263,15.852
19.266,16.528
19.277,16.855
19.291,16.959
19.298,17.384
19.3,17.434
19.309,17.757
19.315,17.788
19.327,17.952
19.325,18.418
19.326,18.467
19.337,19.001
19.341,19.514
19.353,19.548
19.362,19.888
19.369,20.255
19.376,20.338
19.382,20.952
19.384,20.933
19.394,21.614
19.396,21.368
19.404,21.331
19.41,21.998
19.408,22.047
19.419,22.376
19.423,22.885
19.43,23.406
19.441,23.201
19.453,23.445
19.453,24.068
19.456,24.679
19.463,24.57
19.479,25.411
19.479,25.402
19.489,25.338
19.489,25.992
19.491,26.17
19.502,26.501
19.504,26.666
19.512,26.787
19.518,27.288
19.517,27.479
19.519,28.077
19.531,28.418
19.545,29.048
19.546,28.94
19.556,29.676
19.557,29.658
19.567,30.307
19.571,30.54
19.58,30.834
19.584,31.129
19.587,31.414
19.597,32.142
19.596,32.022
19.61,32.089
19.61,32.705
19.611,32.86
19.618,33.102
19.622,33.72
19.626,33.72
19.637,34.481
19.637,35.164
19.651,35.258
19.664,35.847
19.666,36.133
19.673,36.617
19.676,37.437
19.685,37.618
19.696,38.088
19.699,38.62
19.707,38.631
19.715,38.592
19.717,39.024
19.716,39.841
19.723,40.172
19.738,40.642
19.743,41.137
19.75,41.257
19.758,41.97
19.759,41.951
19.772,42.507
19.773,42.674
19.78,43.336
19.783,43.749
19.789,44.05
19.799,44.496
19.803,44.369
19.812,44.691
19.81,45.457
19.816,45.363
19.827,46.221
19.827,46.906
19.84,47.098
19.852,47.594
19.854,47.788
19.862,47.715
19.87,47.972
19.871,48.626
19.874,49.44
19.888,49.417
19.898,50.32
19.901,50.273
19.912,50.751
19.913,50.854
19.923,50.834
19.926,51.413
19.925,51.533
19.933,51.787
19.942,52.199
19.944,52.38
19.955,52.838
19.956,53.107
19.974,53.606
19.971,53.569
19.985,54.323
19.989,54.248
19.998,54.772
20,54.929
20.007,55.103
20.016,55.023
20.019,54.967
20.018,55.643
20.017,56.141
20.036,56.344
20.047,56.493
20.054,56.93
20.06,56.941
20.065,57.469
20.073,57.396
20.082,58.027
20.086,58.292
20.1,58.566
20.115,58.734
20.116,58.928
20.131,59.367
20.13,59.527
20.145,59.688
20.148,60.211
20.156,59.888
20.163,60.185
20.169,60.45
20.18,60.556
20.197,60.951
20.198,60.93
20.212,61.2
20.213,61.186
20.231,61.513
20.232,61.646
20.242,61.759
20.25,61.601
20.257,61.841
20.265,62.138
20.271,61.889
20.282,61.959
20.281,62.322
20.279,62.337
20.297,62.422
20.3,62.455
20.297,62.548
20.299,62.784
20.313,62.921
20.328,63.075
20.332,63.366
20.339,63.314
20.347,63.572
20.354,63.684
20.364,63.784
20.368,63.915
20.384,64.067
20.383,63.884
20.398,64.254
20.4,64.207
20.412,64.546
20.429,64.493
20.435,64.637
20.436,64.518
20.451,64.651
20.453,63.995
20.468,64.07
20.472,64.267
20.488,64.074
20.504,64.105
20.506,64.551
20.519,64.407
20.525,64.786
20.531,64.516
20.542,64.275
20.543,64.436
20.558,64.611
20.558,64.764
20.576,64.914
20.59,64.96
20.592,65.041
20.606,65.171
20.608,65.207
20.622,65.316
20.624,65.277
20.634,65.076
20.642,65.343
20.647,65.495
20.663,65.595
20.661,65.438
20.658,65.739
20.676,65.862
20.677,65.732
20.689,65.816
20.692,65.932
20.707,65.976
20.71,65.754
20.719,65.849
20.729,66.034
20.739,66.213
20.752,66.112
20.766,66.257
20.766,65.903
20.766,66.019
20.785,65.957
20.783,66.082
20.794,66.221
20.797,65.917
20.807,66.059
20.821,66.072
20.835,66.104
20.838,66.143
20.852,66.272
20.853,66.103
20.871,66.109
20.873,66.132
20.884,66.038
20.889,66.252
20.896,66.362
20.906,66.304
20.906,66.068
20.913,66.269
20.927,66.58
20.931,66.123
20.945,66.099
20.96,66.077
20.976,66.478
20.982,66.362
20.987,66.367
21.007,66.363
21.02,66.546
21.023,66.396
21.038,66.64
21.056,66.455
21.057,66.53
21.071,66.515
21.075,66.419
21.076,66.515
21.082,66.633
21.098,66.358
21.116,66.39
21.114,66.251
21.132,66.535
21.132,66.45
21.151,66.554
21.15,66.406
21.163,66.453
21.183,66.399
21.191,66.634
21.195,66.696
21.208,66.337
21.208,66.43
21.226,66.544
21.228,66.605
21.226,66.606
21.238,66.619
21.255,66.762
21.262,66.573
21.273,66.606
21.284,66.252
21.29,66.34
21.307,66.587
21.321,66.514
21.324,66.516
21.338,66.666
21.34,66.749
21.34,66.714
21.339,66.7
21.348,66.77
21.358,66.757
21.361,66.582
21.376,66.845
21.397,66.961
21.394,66.781
21.407,67.086
21.415,66.835
21.425,66.881
21.432,66.945
21.448,66.947
21.451,66.994
21.461,67.215
21.468,66.996
21.475,66.894
21.49,66.988
21.487,67.059
21.49,67.013
21.505,66.943
21.506,67.174
21.525,67.2
21.533,66.785
21.542,67.344
21.555,66.946
21.56,67.073
21.562,67.132
21.562,67.147
21.565,66.925
21.578,67.157
21.596,67.012
21.597,67.061
21.613,67.223
21.617,67.18
21.616,67.418
21.622,67.046
21.638,67.159
21.655,67.156
21.657,67.052
21.671,67.012
21.672,67.33
21.689,66.988
21.69,67.081
21.707,67.186
21.709,67.07
21.722,67.022
21.726,67.18
21.73,67.276
21.735,67.334
21.745,67.466
21.744,67.208
21.762,67.484
21.763,67.297
21.775,67.215
21.779,67.04
21.786,67.376
21.803,67.257
21.819,67.255
21.818,67.313
21.838,67.333
21.836,67.23
21.851,67.15
21.855,67.285
21.863,67.11
21.871,67.043
21.875,67.131
21.892,67.224
21.894,67.315
21.912,67.05
21.926,67.132
21.931,67.343
21.938,67.128
21.947,67.498
21.954,66.995
21.966,67.288
21.968,67.068
21.981,67.191
21.985,66.978
22.005,67.073
22.022,67.091
22.023,67.279
22.022,67.33
22.029,67.3
22.04,67.284
22.044,67.099
22.062,67.187
22.078,66.993
22.079,67.11
22.1,67.358
22.098,67.075
22.113,67.066
22.117,66.996
22.125,67.072
