# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-134627 050Mg 500NaCl #004-001
# Original file ID: C0FE0590-2B23-4112-B078-AA679FC5B3A8
Bead-to-bead distance (um),Force (pN)
15.068,0.74915
15.064,0.33428
15.059,0.84419
15.061,0.56491
15.079,0.64066
15.098,0.6496
15.099,0.55268
15.112,0.58249
15.115,0.33426
15.129,0.45071
15.134,0.5536
15.135,0.50756
15.137,0.78746
15.145,1.0177
15.156,0.54415
15.17,0.4505
15.175,0.56788
15.194,0.59549
15.194,0.68057
15.209,0.53138
15.21,0.67965
15.226,0.5918
15.23,0.48335
15.24,0.65512
15.244,0.57
15.247,0.54602
15.251,0.60806
15.265,0.59779
15.269,0.78096
15.283,0.41311
15.302,0.58869
15.305,0.75021
15.318,0.37211
15.323,0.38986
15.319,0.78676
15.329,0.62014
15.345,0.57941
15.359,0.74497
15.365,0.73351
15.376,0.60417
15.376,0.63787
15.377,0.68328
15.395,0.55262
15.394,0.77819
15.413,0.41032
15.423,0.59059
15.433,0.64031
15.443,0.64724
15.454,0.57654
15.459,0.64649
15.47,0.74353
15.475,0.55026
15.489,0.44502
15.495,0.6192
15.508,0.36925
15.51,0.73574
15.526,0.58236
15.524,0.75288
15.524,0.7343
15.54,0.61913
15.542,0.71323
15.542,0.70769
15.554,0.8027
15.565,0.76145
15.57,0.6477
15.585,0.52953
15.599,0.67106
15.603,0.81116
15.62,0.80573
15.616,0.61849
15.634,0.67837
15.638,0.75301
15.651,0.58707
15.655,0.65241
15.655,0.82618
15.663,0.68244
15.671,0.79988
15.678,0.72353
15.69,0.73012
15.7,0.68749
15.713,0.88696
15.713,0.93618
15.729,0.75255
15.729,0.88201
15.73,0.75512
15.747,0.67373
15.765,0.73925
15.77,0.78806
15.767,0.81772
15.777,0.86992
15.786,0.55603
15.795,0.81405
15.807,0.82256
15.821,0.84492
15.824,0.60568
15.843,0.67175
15.843,0.70896
15.857,0.77614
15.858,0.75796
15.871,0.79133
15.877,0.92305
15.887,0.87806
15.898,0.88115
15.901,0.77133
15.917,0.73343
15.918,0.79463
15.919,0.92778
15.932,0.73464
15.934,0.84007
15.951,0.97725
15.953,0.6805
