# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-135158 050Mg 500NaCl #005-001
# Original file ID: 88B9CB79-37F1-4343-9B91-D3095E79EF25
Bead-to-bead distance (um),Force (pN)
15.073,0.59187
15.068,0.25586
15.071,0.25614
15.09,0.37443
15.087,0.41251
15.089,0.45469
15.101,0.58571
15.106,0.43187
15.116,0.41459
15.13,0.67443
15.139,0.75494
15.145,0.70735
15.159,0.4934
15.16,0.52922
15.16,0.41703
15.178,0.48741
15.18,0.50008
15.19,0.30943
15.198,0.49877
15.207,0.59464
15.218,0.62732
15.224,0.36711
15.234,0.55205
15.238,0.43165
15.254,0.56194
15.258,0.5796
15.273,0.57264
15.275,0.6742
15.289,0.44268
15.292,0.48858
15.292,0.23861
15.294,0.47736
15.31,0.68684
15.311,0.42728
15.313,0.40202
15.33,0.42787
15.33,0.42685
15.345,0.44693
15.367,0.51792
15.365,0.70699
15.379,0.39625
15.383,0.54999
15.392,0.58098
15.404,0.63835
15.399,0.57641
15.406,0.468
15.417,0.62362
15.423,0.40831
15.439,0.31172
15.46,0.5653
15.458,0.57552
15.473,0.57379
15.476,0.48449
15.484,0.5017
15.493,0.81459
15.506,0.49519
15.512,0.55277
15.511,0.62274
15.512,0.57184
15.529,0.67574
15.53,0.787
15.546,0.59434
15.56,0.6349
15.568,0.5117
15.569,0.71378
15.576,0.77064
15.59,0.67952
15.605,0.44673
15.609,0.68949
15.62,0.64242
15.621,0.63929
15.641,0.6008
15.658,0.66743
15.658,0.6819
15.676,0.65643
15.681,0.58865
15.688,0.64432
15.696,0.74342
15.71,0.59736
15.719,0.6673
15.734,0.61592
15.736,0.60026
15.756,0.78004
15.754,0.83753
15.772,0.63732
15.773,0.89078
15.787,0.62981
15.791,0.7755
15.802,0.68403
15.809,0.38239
15.818,0.86255
15.83,0.70045
15.83,0.68256
15.831,0.62348
15.846,0.72913
15.847,0.56267
15.863,0.53355
15.864,0.64254
15.862,0.82127
15.865,0.69058
15.877,0.79344
15.891,0.62694
15.903,0.67506
15.908,0.74884
15.923,0.76418
15.925,0.61165
15.94,0.70408
15.938,0.77788
15.941,0.78839
15.951,0.67696
15.967,0.80948
15.977,0.81532
15.985,1.0141
15.996,0.89937
16,0.70314
16.016,0.7282
16.017,0.61832
16.029,0.77642
16.035,0.651
16.048,0.79802
16.052,0.65447
16.049,0.60723
16.065,0.65068
16.066,0.66501
16.077,0.91201
16.092,0.80675
16.105,0.90827
16.105,0.761
16.108,0.72995
16.123,0.81825
16.127,0.80852
16.141,0.74477
16.159,0.71935
16.163,0.82928
16.174,0.56555
16.182,0.80217
16.187,0.8664
16.197,0.82309
16.197,0.73283
16.2,0.77572
16.216,0.76222
16.218,0.66276
16.234,0.79717
16.252,0.61523
16.254,0.57247
16.267,0.66901
16.27,0.73459
16.286,0.61597
16.291,0.70081
16.297,0.61697
16.309,0.66854
16.31,0.78152
16.318,0.63328
16.327,0.71644
16.327,0.87279
16.344,0.80338
16.344,0.77253
16.357,0.71937
16.377,0.75545
16.385,0.70325
16.39,0.75556
16.401,0.79112
16.404,0.77613
16.423,0.96716
16.442,0.61569
16.44,0.66845
16.46,0.78568
16.46,0.92221
16.477,0.6362
16.48,0.90483
16.491,0.94987
16.492,0.95973
16.506,1.046
16.519,0.86576
16.535,1.0721
16.533,0.79769
16.55,0.91595
16.551,0.87164
16.567,0.76896
16.569,0.89272
16.587,0.7527
16.588,0.9096
16.6,0.99408
16.607,0.80163
16.616,0.74121
16.627,0.94161
16.629,0.88783
16.646,0.95816
16.663,0.9456
16.663,0.80398
16.662,0.87534
16.673,0.83461
16.69,1.0287
16.7,0.83971
16.7,0.86254
16.705,0.90866
16.724,1.1885
16.736,0.57547
16.738,0.74609
16.756,0.88121
16.756,0.70744
16.753,0.88585
16.767,0.82317
16.77,0.85554
16.781,0.96102
16.797,0.87702
16.81,0.94295
16.815,1.002
16.828,0.82303
16.829,0.90219
16.848,0.94821
16.85,0.86272
16.866,1.1996
16.863,0.99191
16.883,1.0633
16.887,1.0909
16.883,1.0674
16.895,0.89202
16.902,0.88747
16.907,0.92029
16.921,1.0677
16.92,0.81437
16.922,1.0691
16.923,0.89786
16.938,0.88223
16.958,1.0657
16.958,1.041
16.973,0.83195
16.975,1.0701
16.988,1.1003
16.996,1.0789
16.999,0.90798
17.003,0.85209
17.013,1.0473
17.021,0.939
17.033,0.95184
17.051,1.088
17.049,1.1544
17.068,1.0593
17.071,1.0372
17.084,0.95302
17.091,0.84759
17.09,1.145
17.096,1.0279
17.111,0.97101
17.124,1.1031
17.125,0.93051
17.125,0.88477
17.143,0.91216
17.144,1.1004
17.157,1.295
17.174,0.90849
17.183,1.1077
17.183,1.2134
17.186,1.1925
17.2,1.0148
17.204,0.99515
17.218,0.882
17.217,1.1352
17.234,0.91637
17.236,1.0925
17.249,0.90209
17.254,1.1732
17.255,1.0694
17.262,1.1112
17.276,1.0852
17.291,0.98292
17.292,0.99213
17.311,1.1199
17.311,1.2659
17.326,0.9784
17.328,1.0128
17.344,1.1946
17.345,1.0463
17.345,1.0809
17.359,1.2246
17.373,1.0418
17.383,1.2117
17.388,1.0577
17.401,0.97675
17.402,1.1196
17.402,1.0052
17.414,1.233
17.42,0.94099
17.431,1.1679
17.437,1.3095
17.448,1.2822
17.464,1.3254
17.473,1.2532
17.477,1.2668
17.491,1.1108
17.493,1.1718
17.508,1.3291
17.511,1.2211
17.529,1.475
17.528,1.2595
17.529,1.3734
17.537,1.3694
17.554,1.5287
17.567,1.3395
17.568,1.4585
17.584,1.4451
17.584,1.3752
17.602,1.2929
17.6,1.3833
17.621,1.4734
17.623,1.2195
17.621,1.4677
17.637,1.5025
17.646,1.6348
17.655,1.2678
17.653,1.4458
17.659,1.5433
17.673,1.5724
17.671,1.7008
17.689,1.6931
17.703,1.6499
17.709,1.7126
17.719,1.4924
17.726,1.694
17.73,1.8198
17.744,1.5825
17.747,1.6562
17.763,1.8314
17.763,1.586
17.783,1.7732
17.783,1.7572
17.8,1.4373
17.803,1.9167
17.799,1.718
17.808,1.669
17.819,2.1003
17.827,2.0409
17.835,1.9296
17.841,2.0068
17.853,2.0212
17.85,1.9416
17.857,2.0612
17.872,2.1449
17.89,1.989
17.892,2.1411
17.891,2.1633
17.908,2.1353
17.907,2.0867
17.921,2.2262
17.926,2.2138
17.93,1.9642
17.948,2.1457
17.965,2.3437
17.959,2.1086
17.979,2.2106
17.982,2.1743
17.997,2.1768
18,2.2415
18.014,2.404
18.017,2.2119
18.025,2.3169
18.036,2.3697
18.031,2.5998
18.038,2.3741
18.05,2.5742
18.057,2.5177
18.069,2.4859
18.085,2.6009
18.091,2.4906
18.102,2.6123
18.109,2.6321
18.11,2.697
18.118,2.5513
18.131,2.6431
18.143,2.571
18.147,2.7118
18.164,2.5774
18.163,2.7614
18.165,2.5974
18.164,2.8389
18.182,2.9074
18.182,2.9474
18.19,3.1172
18.21,2.9024
18.217,3.0581
18.223,3.0271
18.238,3.2213
18.241,2.986
18.252,2.9376
18.256,3.0358
18.274,2.9513
18.274,3.0054
18.29,3.0024
18.291,3.0048
18.289,3.1461
18.302,3.1429
18.309,3.2383
18.316,3.1821
18.333,3.253
18.348,3.3493
18.35,3.2745
18.364,3.3707
18.364,3.4597
18.363,3.361
18.383,3.6047
18.397,3.5113
18.401,3.4441
18.415,3.4153
18.418,3.6598
18.421,3.3872
18.419,3.6577
18.426,3.5037
18.435,3.7068
18.437,3.815
18.455,3.8178
18.467,3.7818
18.474,3.9599
18.488,3.9113
18.49,3.8869
18.502,4.025
18.509,4.1162
18.516,4.02
18.53,4.209
18.535,4.1359
18.544,4.2885
18.545,4.1831
18.542,4.2644
18.564,4.4999
18.56,4.5908
18.575,4.4295
18.585,4.7344
18.598,4.5793
18.601,4.7548
18.616,4.5898
18.613,4.7093
18.617,4.8686
18.632,4.8608
18.647,5.0259
18.649,5.0266
18.662,5.0674
18.667,5.0436
18.665,5.1737
18.665,4.9012
18.675,5.1075
18.685,5.1945
18.686,5.3239
18.7,5.2483
18.716,5.498
18.716,5.6176
18.731,5.6101
18.733,5.7552
18.746,5.7425
18.752,5.9318
18.764,5.8303
18.769,6.1663
18.776,5.9391
18.787,6.0298
18.788,6.2839
18.786,6.3083
18.804,6.6646
18.802,6.5434
18.816,6.8879
18.831,6.5208
18.837,6.7059
18.836,6.7999
18.847,6.9434
18.856,7.1907
18.871,6.9511
18.871,7.3442
18.871,7.5356
18.882,7.4019
18.899,7.7449
18.907,7.7836
18.911,7.7827
18.922,7.8428
18.921,8.0634
18.922,8.0475
18.938,8.2351
18.938,8.3126
18.954,8.6214
18.954,8.5807
18.973,8.7942
18.973,8.867
18.983,9.0841
18.989,9.1973
18.993,9.2473
19.004,9.6962
19.007,9.5372
19.023,9.8491
19.023,9.8452
19.037,9.9057
19.033,10.106
19.037,9.9594
19.051,10.371
19.055,10.485
19.066,10.542
19.069,10.957
19.077,10.937
19.085,11.257
19.09,11.108
19.102,11.378
19.096,11.53
19.106,11.774
19.115,11.862
19.113,11.915
19.133,12.267
19.135,12.633
19.144,12.823
19.154,13.105
19.162,13.166
19.169,13.345
19.175,13.708
19.179,13.757
19.19,14.056
19.196,14.207
19.206,14.528
19.207,14.501
19.221,15.048
19.222,15.003
19.234,15.08
19.237,15.388
19.238,15.585
19.248,15.919
19.25,16.18
19.263,16.318
19.267,16.534
19.271,16.992
19.282,17.203
19.297,17.741
19.297,17.758
