# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-140841 050Mg 500NaCl #008-001
# Original file ID: C16EF511-775C-420D-A83A-2C970661C8D5
Bead-to-bead distance (um),Force (pN)
15.053,0.87773
15.054,0.7527
15.065,0.78267
15.066,0.80689
15.082,0.8138
15.087,1.0487
15.095,0.81455
15.101,0.87737
15.106,0.81606
15.109,1.0644
15.125,0.90061
15.119,0.93927
15.139,0.8862
15.155,0.87404
15.165,1.0278
15.171,1.0817
15.179,0.90321
15.18,0.92828
15.184,0.91896
15.201,0.86265
15.213,0.91973
15.22,0.8831
15.236,0.9815
15.235,0.99204
15.234,1.1196
15.231,0.97902
15.244,0.95498
15.254,1.0105
15.262,1.0429
15.275,0.99735
15.29,1.1011
15.295,0.97359
15.305,1.0539
15.312,1.1695
15.329,0.84776
15.328,0.83766
15.345,1.0652
15.348,0.94624
15.363,1.0858
15.368,1.0398
15.367,1.2743
15.378,1.1059
15.386,1.2391
15.395,1.0366
15.409,1.0997
15.422,1.1571
15.425,0.91744
15.44,0.9572
15.442,1.0296
15.458,1.2758
15.46,1.0386
15.476,1.1775
15.476,1.2983
15.493,1.2111
15.493,1.247
15.498,1.1328
15.499,1.2886
15.506,1.1581
15.516,1.2061
15.518,1.1385
15.538,0.98677
15.553,1.0321
15.552,1.3742
15.567,0.90049
15.566,1.0351
15.583,1.0086
15.59,1.1022
15.604,0.92083
15.608,1.0527
15.62,1.0891
15.624,0.97127
15.627,1.1405
15.634,1.1682
15.642,1.1058
15.646,0.99869
15.662,0.94741
15.685,1.0269
15.684,1.1177
15.694,1.0543
15.701,1.1191
15.715,1.076
15.719,1.2568
15.729,1.1902
15.732,0.98734
15.738,1.1758
15.739,1.1986
15.741,1.1123
15.753,1.3292
15.755,1.3144
15.774,1.1041
15.792,1.1543
15.795,0.90574
15.804,1.087
15.813,1.3464
15.815,1.0482
15.828,1.2004
15.831,1.1694
15.851,1.2421
15.855,0.99236
15.867,1.1967
15.869,1.2234
15.885,1.3623
15.888,1.3845
15.888,1.2961
15.897,1.2127
15.904,1.1994
15.91,1.3753
15.925,1.1289
15.94,1.3817
15.947,1.3375
15.941,1.2475
15.961,1.4157
15.962,1.2879
15.979,1.1697
15.993,1.1878
15.999,1.217
16.007,1.2389
16.014,1.1263
16.02,1.1647
16.035,0.95711
16.029,1.1051
16.037,1.0521
16.054,1.0336
16.059,1.1763
16.074,1.2721
16.073,1.2157
16.089,1.0738
16.088,1.2216
16.104,1.2074
16.105,1.3196
16.113,1.0511
16.124,0.96471
16.14,0.92985
16.148,0.96841
16.148,0.88553
16.152,1.2886
16.166,0.99242
16.164,1.0103
16.182,1.1157
16.195,1.2109
16.199,1.1412
16.21,1.3874
16.223,1.3257
16.22,1.0268
16.226,1.2922
16.247,1.3178
16.254,1.2403
16.263,1.1529
16.279,1.1118
16.278,1.2423
16.296,0.96551
16.293,1.2603
16.294,1.2848
16.303,1.0764
16.315,0.99616
16.326,1.188
16.332,1.3702
16.343,1.1628
16.348,1.3643
16.356,0.93936
16.368,1.1405
16.372,1.1304
16.386,0.96882
16.387,1.2421
16.412,1.3251
16.408,1.2158
16.406,1.0136
16.426,0.99585
16.427,1.1735
16.439,1.0935
16.449,1.1871
16.448,1.2085
16.465,1.0258
16.48,1.0663
16.48,1.1883
16.5,1.0852
16.503,1.1222
16.521,1.1531
16.518,1.1352
16.535,1.1599
16.537,1.2518
16.552,0.99475
16.556,1.0131
16.557,0.97239
16.559,1.2686
16.579,1.1914
16.57,1.1585
16.594,1.1839
16.595,1.0734
16.616,1.0913
16.617,1.1017
16.627,1.236
16.633,1.1753
16.632,1.2332
16.635,1.2079
16.649,1.0545
16.65,0.91663
16.673,1.2735
16.671,1.219
16.689,1.0909
16.691,1.3013
16.689,1.2639
16.692,1.1963
16.7,1.0351
16.714,1.4172
16.725,1.4177
16.73,1.1691
16.743,1.2658
16.75,1.0782
16.765,1.2944
16.767,1.1933
16.782,1.2955
16.78,1.4489
16.798,1.4605
16.798,1.2693
16.8,1.2367
16.807,1.162
16.816,1.0957
16.825,1.325
16.838,1.4765
16.836,1.3454
16.859,1.4787
16.859,1.5706
16.876,1.2463
16.894,1.343
16.897,1.2321
16.909,1.5104
16.912,1.4208
16.913,1.4935
16.913,1.4124
16.92,1.375
16.929,1.3982
16.929,1.6712
16.952,1.4742
16.972,1.519
16.968,1.5276
16.985,1.6279
16.987,1.5671
17.004,1.5539
17.005,1.3757
17.019,1.5745
17.027,1.4313
17.037,1.3921
17.045,1.6001
17.046,1.5115
17.053,1.4044
17.065,1.543
17.064,1.6769
17.081,1.554
17.096,1.3913
17.097,1.6612
17.099,1.413
17.115,1.3906
17.131,1.4526
17.14,1.5209
17.138,1.6932
17.142,1.4789
17.159,1.4164
17.174,1.4775
17.176,1.5488
17.194,1.6429
17.193,1.5789
17.19,1.4827
17.198,1.4589
17.214,1.5992
17.218,1.5191
17.23,1.6462
17.237,1.347
17.249,1.5454
17.25,1.3882
17.263,1.5036
17.263,1.6218
17.283,1.6057
17.28,1.3618
17.302,1.5086
17.304,1.2858
17.314,1.6149
17.319,1.6475
17.325,1.5914
17.339,1.3379
17.34,1.5137
17.357,1.629
17.356,1.426
17.355,1.5707
17.371,1.503
17.382,1.6697
17.393,1.4838
17.404,1.527
17.412,1.4159
17.412,1.5715
17.418,1.572
17.432,1.4332
17.435,1.7253
17.444,1.7103
17.448,1.4778
17.447,1.7727
17.453,1.6263
17.462,1.7973
17.468,1.4903
17.483,1.6095
17.489,1.588
17.505,1.6556
17.502,1.5895
17.518,1.708
17.521,1.7909
17.533,1.5463
17.537,1.7471
17.552,1.6388
17.552,1.7289
17.565,1.557
17.574,1.584
17.574,1.6257
17.577,1.6152
17.59,1.877
17.592,1.9097
17.605,1.7541
17.608,1.839
17.625,1.8733
17.638,1.9045
17.639,1.9703
17.652,1.981
17.658,1.9346
17.657,2.1898
17.664,2.0793
17.67,2.0511
17.677,1.8617
17.682,1.9892
17.702,2.184
17.711,1.9113
17.713,2.1962
17.729,2.2911
17.729,1.9375
17.749,2.102
17.755,2.2678
17.767,2.3923
17.767,2.1548
17.776,2.3103
17.787,2.3155
17.792,2.337
17.803,2.4271
17.803,2.4084
17.803,2.321
17.819,2.2931
17.823,2.5079
17.838,2.5301
17.854,2.6333
17.857,2.5531
17.868,2.3769
17.876,2.6406
17.877,2.4953
17.876,2.6088
17.893,2.4601
17.892,2.6799
17.91,2.6764
17.912,2.8348
17.931,2.8094
17.927,2.6022
17.939,2.6398
17.955,2.7203
17.966,2.9612
17.969,3.0089
17.982,2.9165
17.985,2.9646
17.999,2.8581
18.001,2.9228
18.016,2.8041
18.019,2.851
18.037,2.9425
18.038,2.8713
18.051,2.8182
18.059,2.8731
18.057,2.9659
18.061,3.0268
18.073,3.0062
18.076,3.1015
18.089,3.0423
18.092,3.0512
18.113,3.2971
18.126,3.254
18.127,3.2729
18.133,3.207
18.136,3.3388
18.146,3.2321
18.158,3.449
18.167,3.3323
18.179,3.3247
18.182,3.2067
18.196,3.3533
18.202,3.4379
18.2,3.6638
18.213,3.7269
18.222,3.7284
18.224,3.6661
18.239,3.4734
18.242,3.6692
18.257,3.6894
18.253,3.8304
18.271,3.8538
18.269,3.8521
18.28,3.9085
18.295,3.6454
18.294,3.87
18.315,3.9516
18.318,4.1062
18.332,4.0971
18.333,4.1472
18.336,4.1505
18.362,4.113
18.369,4.0902
18.379,4.2801
18.389,4.4161
18.395,4.2199
18.406,4.495
18.414,4.4042
18.428,4.5531
18.442,4.5281
18.445,4.5045
18.463,4.6595
18.462,4.9266
18.48,4.677
18.48,4.7551
18.479,4.9156
18.481,4.6915
18.495,4.6156
18.506,4.8106
18.515,4.8751
18.518,4.9748
18.522,5.001
18.53,4.9092
18.551,5.0113
18.546,5.2603
18.567,5.2181
18.568,5.2908
18.582,5.431
18.585,5.1229
18.587,5.4319
18.585,5.523
18.584,5.5373
18.604,5.3851
18.618,5.4913
18.618,5.6002
18.618,5.7157
18.622,5.9993
18.633,5.9855
18.649,6.07
18.646,6.0764
18.666,6.0457
18.68,6.2057
18.66,6.1059
18.678,6.4452
18.685,6.5417
18.704,6.4799
18.707,6.5614
18.725,6.6129
18.726,7.0113
18.738,6.9791
18.741,7.1636
18.76,7.0697
18.752,7.0607
18.763,7.3102
18.775,7.3519
18.779,7.7378
18.792,7.8054
18.795,7.8091
18.809,8.0534
18.828,7.953
18.824,8.0007
18.832,8.2133
18.83,8.2297
18.833,8.415
18.834,8.719
18.86,8.5736
18.876,8.778
18.863,8.9369
18.878,9.171
18.884,9.2117
18.889,9.3711
18.898,9.3968
18.904,9.2951
18.917,9.5616
18.922,9.6558
18.936,9.8321
18.941,9.9258
18.961,9.9615
18.945,10.197
18.946,10.285
18.954,10.5
18.959,10.669
18.973,10.68
18.984,10.812
18.988,10.832
18.997,10.873
19.002,11.149
19,11.367
19.015,11.13
19.014,11.452
19.016,11.571
19.025,11.783
19.031,11.862
19.036,12.021
19.045,12.306
19.049,12.787
19.06,12.501
19.077,13.038
19.077,13.094
19.089,13.6
19.095,13.539
19.104,13.779
19.109,13.985
19.117,14.105
19.125,14.427
19.131,14.56
19.145,14.849
19.147,14.833
19.159,14.977
19.16,15.32
19.161,15.363
19.174,15.682
19.172,15.847
19.184,16.185
19.188,16.514
19.197,16.68
19.208,17.057
19.215,17.356
19.221,17.312
19.232,17.319
19.232,17.474
19.232,17.871
19.236,18.536
19.248,18.464
19.259,18.523
19.261,18.746
19.264,19.218
19.269,19.556
19.281,19.761
19.287,20.116
19.296,20.324
19.304,20.694
19.312,20.878
19.319,21.411
19.319,21.393
19.336,21.826
19.336,22.016
19.35,22.632
19.351,22.741
19.361,22.711
19.362,23.172
19.363,23.325
19.368,23.79
19.38,24.202
19.382,24.273
19.396,24.67
19.394,24.8
19.409,25.482
19.408,26.212
19.419,26.343
19.432,26.676
19.432,26.941
19.441,27.133
19.446,27.548
19.459,27.809
19.464,28.321
19.467,28.455
19.48,28.275
19.468,29.042
19.468,29.163
19.479,29.758
19.493,29.929
19.501,30.21
19.496,30.799
19.512,30.965
19.509,31.487
19.523,31.717
19.529,32.285
19.521,32.504
19.539,33.043
19.547,33.884
19.552,34.037
19.56,33.894
19.565,34.319
19.561,34.726
19.57,35.013
19.579,35.884
19.583,36.656
19.594,36.806
19.602,37.438
19.608,37.663
19.615,38.207
19.621,38.259
19.626,38.918
19.634,38.88
19.643,39.717
19.645,39.909
19.656,40.469
19.656,40.757
19.671,40.685
19.669,41.072
19.668,41.509
19.677,41.85
19.683,42.479
19.69,42.448
19.699,43.327
19.698,43.317
19.712,43.323
19.716,44.284
19.713,44.992
19.724,45.013
19.736,45.05
19.739,45.664
19.737,46.029
19.749,46.478
19.755,46.905
19.764,47.099
19.768,47.899
19.772,48.557
19.784,48.714
19.795,49.431
19.797,49.368
19.811,49.858
19.809,50.133
19.822,50.822
19.825,51.18
19.835,51.464
19.839,51.819
