# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-141620 050Mg 500NaCl #009-001
# Original file ID: 96D00DE0-57C0-477D-98CC-1092F603FAF0
Bead-to-bead distance (um),Force (pN)
15.02,1.29
15.023,1.1731
15.017,1.2213
15.013,1.1195
15.019,1.0677
15.018,0.99726
15.017,1.177
15.026,1.1332
15.039,1.2331
15.049,1.2249
15.056,1.1301
15.065,1.1745
15.078,1.1075
15.076,1.0388
15.093,1.3352
15.092,1.1267
15.106,1.2801
15.115,1.3378
15.106,1.2229
15.133,1.2773
15.121,1.3047
15.137,1.3695
15.156,1.1906
15.169,1.0397
15.169,1.1131
15.186,1.19
15.185,1.1123
15.199,1.0868
15.213,1.3783
15.217,1.2484
15.221,1.4058
15.242,1.4469
15.245,1.2811
15.261,1.3518
15.264,1.5013
15.275,1.4829
15.278,1.2668
15.274,1.3724
15.279,1.3159
15.279,1.3796
15.303,1.4469
15.317,1.4055
15.324,1.2404
15.338,1.4175
15.339,1.4521
15.35,1.6062
15.352,1.6654
15.364,1.5588
15.367,1.4427
15.377,1.6633
15.393,1.442
15.413,1.5632
15.413,1.6063
15.4,1.7131
15.431,1.6491
15.443,1.526
15.445,1.6027
15.459,1.5389
15.463,1.658
15.473,1.6964
15.48,1.4609
15.503,1.7931
15.507,1.4907
15.519,1.5292
15.524,1.5816
15.537,1.4975
15.538,1.5565
15.552,1.652
15.553,1.5095
15.555,1.4727
15.559,1.6012
15.583,1.3114
15.598,1.5138
15.594,1.5141
15.609,1.6948
15.614,1.6718
15.624,1.6296
15.632,1.3234
15.636,1.4927
15.647,1.7673
15.644,1.676
15.649,1.6749
15.662,1.641
15.67,1.6062
15.662,1.7011
15.663,1.569
15.659,1.5886
15.681,1.8911
15.687,1.3724
15.689,1.5366
15.705,1.6695
15.708,1.5946
15.704,1.6828
15.706,1.6951
15.704,1.6764
15.719,1.5847
15.727,1.6396
15.738,1.6558
15.74,1.9394
15.764,1.6452
15.765,1.635
15.78,1.5888
15.779,1.6574
15.78,1.7578
15.794,1.685
15.806,1.5778
15.815,1.6918
15.815,1.5401
15.832,1.6064
15.837,1.7046
15.857,1.5092
15.86,1.6286
15.877,1.7608
15.89,1.6728
15.89,1.6141
15.906,1.5255
15.907,1.4705
15.907,1.7633
15.906,1.7338
15.913,1.7764
15.923,1.8062
15.928,1.8231
15.952,1.6911
15.966,1.6887
15.967,1.4258
15.985,1.7328
15.983,1.687
15.997,1.8526
15.999,1.6522
16.009,1.8473
16.025,1.4861
16.034,1.4402
16.041,1.7118
16.041,1.7528
16.045,1.7351
16.055,1.7738
16.058,1.7268
16.075,1.7961
16.088,1.5749
16.079,1.6
16.093,1.6431
16.111,1.7245
16.118,1.5499
16.121,1.8289
16.141,1.6412
16.148,1.7092
16.151,1.9432
16.145,1.7542
16.153,1.6604
16.163,1.943
16.165,1.5537
16.178,1.7984
16.204,1.657
16.206,1.6775
16.215,1.8714
16.224,1.6932
16.235,1.7357
16.241,1.542
16.248,1.7336
16.259,1.5284
16.257,1.8151
16.278,1.8337
16.278,1.7633
16.301,1.6622
16.305,1.6294
16.302,1.5506
16.312,1.756
16.31,1.7781
16.331,1.8147
16.338,1.797
16.355,1.6644
16.355,1.8001
16.372,1.8759
16.372,1.9308
16.371,1.7089
16.368,1.6867
16.378,1.6287
16.392,1.6577
16.411,1.7379
16.415,1.8177
16.427,1.5938
16.425,1.411
16.429,1.7533
16.447,1.925
16.461,1.9442
16.459,1.9757
16.473,1.9204
16.476,1.9112
16.499,2.0756
16.502,1.8192
16.51,1.7744
16.522,1.87
16.524,1.8854
16.539,1.928
16.536,1.7592
16.549,1.771
16.556,1.9598
16.559,1.7524
16.58,1.8317
16.582,1.7309
16.581,1.9575
16.598,1.9873
16.596,2.089
16.61,1.9715
16.613,1.9944
16.615,1.791
16.627,1.791
16.642,1.7105
16.656,1.9765
16.653,1.8724
16.672,1.6895
16.673,2.158
16.688,1.9137
16.688,1.804
16.708,1.9545
16.708,1.7331
16.707,1.943
16.718,2.0635
16.723,1.8755
16.728,2.269
16.74,1.7674
16.748,1.923
16.766,2.108
16.77,1.9685
16.783,2.0211
16.784,2.1364
16.799,2.3863
16.801,2.1825
16.808,2.114
16.817,2.244
16.816,2.1574
16.824,2.2154
16.838,2.1731
16.842,1.9871
16.857,2.1198
16.859,2.2944
16.875,2.1207
16.887,2.2053
16.898,2.3066
16.901,2.2448
16.91,2.2588
16.916,2.097
16.938,2.3418
16.932,2.4284
16.957,2.3227
16.953,2.1978
16.95,2.3003
16.969,2.1934
16.972,2.2949
16.979,2.3024
16.996,2.1421
17.006,2.1147
17.01,2.2523
17.03,2.2716
17.036,2.1691
17.049,2.2429
17.051,2.397
17.052,2.484
17.066,2.3623
17.081,2.2655
17.081,2.2126
17.094,2.3719
17.095,2.4515
17.098,2.3694
