# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-142640 050Mg 500NaCl #011-001
# Original file ID: 5359C4EF-683F-4D2F-9510-F58E6E686353
Bead-to-bead distance (um),Force (pN)
15.081,0.66148
15.092,0.58713
15.094,0.61471
15.095,0.45683
15.062,0.51374
15.102,0.47285
15.11,0.64807
15.12,0.69824
15.118,0.5121
15.128,0.61752
15.129,0.52424
15.139,0.60818
15.138,0.50605
15.145,0.58961
15.184,0.30018
15.19,0.66402
15.196,0.47819
15.196,0.64306
15.209,0.52422
15.207,0.67498
15.205,0.5224
15.22,0.46687
15.222,0.7112
15.23,0.69634
15.231,0.80837
15.262,0.75587
15.235,0.63914
15.274,0.758
15.246,0.49624
15.29,0.36062
15.255,0.74912
15.286,0.6786
15.288,0.50126
15.286,0.59043
15.289,0.5871
15.297,0.60292
15.313,0.69419
15.311,0.54847
15.321,0.33853
15.323,0.75841
15.331,0.62494
15.367,0.60187
15.374,0.55954
15.375,0.75213
15.386,0.87478
15.39,0.75913
15.392,0.71059
15.403,0.5235
15.401,0.66266
15.398,0.70446
15.408,0.70437
15.412,0.90487
15.426,0.59439
15.428,0.7251
15.431,0.65184
15.478,0.58268
15.483,0.76867
15.485,0.63022
15.496,0.62766
15.493,0.6899
15.496,0.53492
15.506,0.63653
15.547,0.631
15.554,0.81097
15.558,0.60465
15.533,0.92448
15.559,0.88981
15.567,0.7654
15.539,0.88827
15.576,0.6619
15.589,0.9846
15.587,0.75942
15.6,0.93752
15.631,0.63357
15.608,0.92021
15.611,0.80047
15.622,0.67921
15.655,0.96089
15.667,0.81912
15.667,0.66527
15.674,0.75043
15.678,0.82646
15.681,0.77367
15.689,0.80839
15.703,0.80267
15.734,0.98354
15.746,0.8256
15.75,1.0197
15.753,1.0143
15.766,0.98256
15.768,0.82609
15.773,0.81664
15.817,0.88194
15.785,0.9183
15.781,1.0483
15.785,0.68496
15.826,0.85633
15.829,0.95571
15.835,0.7928
15.844,0.98299
15.855,0.96077
15.855,0.91533
15.866,0.90041
15.866,0.98585
15.905,0.96036
15.906,0.62657
15.915,0.63337
15.919,1.0085
15.932,0.94086
15.932,0.73876
15.946,0.95228
15.946,0.85255
15.943,0.81262
15.953,0.62642
15.958,0.85215
15.991,0.90411
16,0.68887
15.98,0.76241
16.013,0.82808
16.022,0.90389
16.028,0.669
16.024,0.72589
16.027,0.84211
16.034,0.91425
16.042,0.90135
16.05,0.83609
16.084,0.83659
16.061,0.62395
16.061,0.86122
16.093,0.74815
16.102,0.7685
16.112,0.89894
16.117,0.80311
16.121,0.73854
16.127,0.66759
16.134,0.76382
16.144,0.71041
16.171,0.66099
16.185,0.69123
16.185,0.67139
16.198,0.80828
16.196,0.74042
16.194,0.61741
16.208,0.789
16.209,0.655
16.215,0.90555
16.22,0.68628
16.235,0.76837
16.265,0.67103
16.276,0.72466
16.246,0.77626
16.285,0.64876
16.288,0.7276
16.295,0.71154
16.309,0.87525
16.34,0.76133
16.316,0.70542
16.352,0.59149
16.352,0.70316
16.371,0.50476
16.366,0.76551
16.38,0.66608
16.38,0.85433
16.393,0.85279
16.402,0.80475
16.407,0.97235
16.408,0.62282
16.415,0.79622
16.454,0.79675
16.432,0.77706
16.461,0.57735
16.471,0.61372
16.473,0.64692
16.483,0.804
16.488,0.59481
16.494,0.72992
16.501,0.7771
16.495,0.76531
16.502,0.70428
16.509,0.88623
16.515,0.69272
16.52,0.80607
16.525,0.99315
16.556,0.90456
16.564,0.74381
16.57,0.81447
16.606,0.69603
16.584,0.80705
16.619,1.0573
16.622,1.0662
16.631,0.92719
16.63,0.90202
16.633,0.95571
16.644,0.90191
16.646,0.77133
16.656,0.93656
16.668,0.83203
16.669,0.90696
16.679,0.75934
16.684,0.87108
16.716,1.0577
16.695,0.92538
16.728,0.74368
16.735,1.198
16.737,1.2254
16.736,1.2337
16.748,1.0928
16.749,1.2514
16.761,1.0851
16.767,1.1771
16.804,1.0352
16.803,1.0004
16.808,1.0461
16.818,1.1488
16.831,1.1634
16.832,1.1757
16.844,1.1698
16.873,1.3601
16.854,1.2132
16.866,0.98388
16.867,1.419
16.911,1.0787
16.909,1.0757
16.92,1.198
16.925,1.4114
16.929,1.0998
16.938,0.84959
16.978,1.1267
16.977,1.0778
16.992,1.1732
16.963,1.4283
17.006,1.1211
17.002,1.2275
16.985,1.2633
17.017,1.1844
17.024,1.216
17.028,1.3474
17.03,1.4456
17.044,1.3122
17.039,1.4298
17.044,1.2921
17.045,1.3769
17.057,1.2705
17.081,1.2627
17.09,1.2675
17.093,1.2787
17.105,1.5071
17.116,1.1377
17.122,1.1301
17.126,1.3488
17.136,1.3447
17.139,1.3232
17.148,1.382
17.175,1.3166
17.188,1.2328
17.186,1.4708
17.16,1.4969
17.192,1.3409
17.198,1.3041
17.232,1.1974
17.21,1.153
17.24,1.141
17.251,1.3468
17.256,1.2542
17.264,1.0938
17.238,1.0536
17.276,1.188
17.276,1.1886
17.315,1.2662
17.301,1.617
17.306,1.1114
17.3,1.2255
17.341,1.357
17.316,1.382
17.347,1.2612
17.354,1.3817
17.37,1.2964
17.367,1.2022
17.375,1.3861
17.406,1.3529
17.391,1.3211
17.39,1.19
17.4,1.1039
17.431,1.3459
17.412,1.331
17.417,1.2382
17.45,1.363
17.458,1.5486
17.459,1.4474
17.459,1.5308
17.466,1.2869
17.472,1.4632
17.482,1.4041
17.486,1.4645
17.49,1.4702
17.493,1.4375
17.502,1.5771
17.538,1.5084
17.547,1.5176
17.546,1.6277
17.581,1.555
17.561,1.5081
17.56,1.4075
17.559,1.6386
17.568,1.7619
17.595,1.8722
17.608,1.6423
17.614,1.825
17.627,1.8405
17.636,1.8432
17.637,1.9644
17.647,1.6376
17.649,1.7017
17.661,1.9981
17.663,1.8344
17.696,1.7926
17.674,1.8714
17.674,1.8483
17.681,2.1953
17.713,2.0752
17.712,2.1801
17.727,2.1157
17.757,1.9465
17.739,2.0788
17.738,2.0237
17.75,2.1649
17.783,2.1624
17.764,2.3133
17.797,1.9433
17.801,1.9752
17.807,2.2496
17.776,2.2638
17.805,2.1987
17.811,2.2449
17.813,2.0731
17.813,2.4201
17.819,2.0772
17.819,2.1846
17.832,2.4701
17.839,2.3509
17.842,2.4185
17.855,2.3263
17.856,2.3859
17.89,2.3145
17.866,2.5495
17.925,2.4118
17.905,2.5675
17.934,2.5953
17.944,2.5755
17.952,2.67
17.959,2.7565
17.959,2.66
17.958,2.9165
17.942,2.7476
17.967,2.5237
17.951,2.9762
17.98,2.7303
17.989,2.6777
18.002,2.8299
18.03,2.8903
18.012,2.8477
18.047,2.8838
18.043,2.7444
18.024,2.8109
18.061,3.0505
18.058,3.0634
18.07,3.0296
18.043,2.9879
18.07,3.1283
18.082,2.8589
18.09,2.962
18.094,3.0155
18.102,3.1664
18.11,3.1827
18.113,3.3433
18.123,2.9882
18.151,3.2344
18.137,3.4583
18.162,3.3169
18.176,3.3553
18.176,3.4963
18.188,3.3881
18.19,3.3774
18.189,3.4805
18.195,3.5711
18.225,3.4434
18.21,3.6911
18.239,3.6467
18.214,3.6867
18.251,3.7942
18.263,3.9632
18.263,3.5616
18.298,3.6979
18.303,3.6885
18.312,4.0402
18.299,3.7965
18.329,3.8541
18.333,3.8946
18.345,3.8796
18.348,3.8918
18.351,3.8856
18.365,4.0222
18.37,4.1151
18.406,4.1356
18.385,4.1311
18.418,4.1241
18.424,4.1684
18.431,4.3698
18.437,4.3249
18.444,4.1846
18.448,4.4414
18.47,4.3536
18.461,4.4343
18.46,4.4929
18.461,4.7647
18.473,4.6754
18.481,4.8722
18.485,4.5831
18.516,4.5318
18.527,4.8226
18.524,4.7848
18.533,4.7601
18.569,4.8195
18.552,5.0242
18.58,5.1756
18.557,5.1038
18.567,5.0223
18.572,5.1456
18.582,5.3227
18.613,5.3797
18.587,5.5302
18.614,5.6807
18.631,5.6868
18.636,5.7001
18.641,5.9444
18.672,5.7597
18.681,5.9644
18.691,6.259
18.687,6.1063
18.698,6.2883
18.7,6.2979
18.737,6.4464
18.709,6.3082
18.721,6.4335
18.753,6.7642
18.755,6.5773
18.736,6.7147
18.766,6.7648
18.764,7.01
18.774,7.1138
18.777,6.8752
18.781,6.9954
18.785,7.112
18.783,7.0922
18.754,7.2892
18.797,7.3638
18.804,7.5374
18.805,7.5943
18.813,7.6992
18.846,7.8155
18.823,7.887
18.863,7.9456
18.865,8.0843
18.859,8.1519
18.869,8.1758
18.879,8.3842
18.879,8.413
18.896,8.6876
18.892,8.8894
18.929,9.0487
18.936,9.0562
18.911,9.0847
18.914,9.3017
18.921,9.3448
18.951,9.6999
18.933,9.7885
18.969,9.8565
18.976,9.833
18.974,9.9966
18.975,10.147
18.973,10.326
18.984,10.656
18.98,10.86
19.02,11.074
18.999,11.242
19.01,11.32
19.01,11.293
19.017,11.629
19.048,11.89
19.058,12.127
19.057,12.111
19.07,12.471
19.065,12.391
19.077,12.353
19.078,12.758
19.08,12.657
19.084,12.856
19.092,13.496
19.119,13.344
19.101,13.591
19.098,13.758
19.139,14.228
19.136,14.66
19.148,14.388
19.158,15.098
19.156,15.219
19.165,15.178
19.168,15.024
19.17,15.388
19.174,15.571
19.173,15.517
19.18,15.964
19.185,16.559
19.238,16.559
19.254,16.907
19.253,17.032
19.263,17.289
19.236,17.524
19.242,17.895
19.276,18.227
19.253,18.315
19.283,18.932
19.285,18.931
19.297,18.906
19.296,19.283
19.291,19.389
19.306,19.846
19.332,20.495
19.34,20.728
19.346,20.701
19.349,21.195
19.329,21.152
19.362,21.384
19.362,21.929
19.363,22.347
19.372,22.431
19.402,23.188
19.38,23.15
19.412,23.1
19.411,23.532
19.417,23.733
19.416,24.132
19.4,24.552
19.428,25.106
19.431,25.047
19.442,25.729
19.447,25.889
19.452,26.399
19.452,26.569
19.459,27.062
19.459,27.523
19.469,27.833
19.475,28.04
19.476,28.506
19.481,28.766
19.486,28.806
19.512,28.893
19.514,29.489
19.518,29.643
19.522,30.342
19.524,30.418
19.526,30.298
19.534,31.079
19.531,31.258
19.559,31.759
19.539,32.038
19.548,32.086
19.572,32.268
19.574,32.81
19.571,32.825
19.561,33.697
19.581,33.637
19.591,33.656
19.595,33.737
19.588,34.277
19.566,34.83
19.59,35.46
19.6,35.57
19.604,36.233
19.608,36.379
19.613,37.107
19.634,36.983
19.65,37.801
19.649,37.929
19.635,38.812
19.661,38.918
19.664,39.528
19.659,39.72
19.673,39.706
19.677,39.711
19.677,40.383
19.678,40.703
19.712,41.42
19.683,41.824
19.691,42.113
19.695,42.303
19.723,42.861
19.72,43.356
19.732,43.046
19.737,43.602
19.735,44.252
19.738,44.37
19.743,44.948
19.746,45.3
19.772,45.846
19.759,46.589
19.784,46.7
19.79,47.614
19.779,47.669
19.801,47.982
19.802,48.392
19.81,48.848
19.817,49.143
19.821,49.665
19.828,50.185
19.828,50.352
19.833,50.91
19.853,51.059
19.86,51.033
19.855,51.936
19.862,52.079
19.877,52.733
19.877,52.751
19.886,53.087
19.889,53.644
19.89,54.38
19.899,54.514
19.911,54.987
19.912,55.186
19.922,55.023
19.923,55.08
19.924,55.778
19.939,56.462
19.942,56.668
19.95,56.483
19.957,56.64
19.963,57.365
19.965,58.077
19.976,58.124
19.981,58.569
19.986,58.743
19.992,59.26
20.012,59.312
20.012,59.657
20.019,59.887
20.03,60.452
20.038,60.665
20.039,60.821
20.046,61.388
20.049,61.133
20.061,61.338
20.059,61.834
20.06,61.777
20.071,62.442
20.074,62.572
20.093,62.945
20.112,63.275
20.112,63.224
20.12,63.358
20.127,63.841
20.133,64.004
20.14,64.492
20.14,64.911
20.156,65.046
20.178,65.087
20.178,65.507
20.197,65.616
20.193,66.022
20.206,66.223
20.221,66.354
20.225,66.399
20.231,66.392
20.246,66.803
20.242,66.87
20.263,66.823
20.263,67.187
20.281,67.153
20.28,67.262
20.295,67.614
20.298,67.423
20.309,67.338
20.313,67.425
20.333,67.642
20.328,67.556
20.324,67.509
20.343,68.039
20.357,67.837
20.368,67.919
20.369,67.975
20.369,68.271
20.382,68.342
20.387,68.387
20.393,68.547
20.411,68.616
20.415,67.789
20.417,67.77
20.447,68.15
20.448,67.874
20.462,67.978
20.466,68.17
20.465,68.709
20.473,68.445
20.484,69.007
20.493,68.818
20.499,69.162
20.52,68.891
20.524,69.143
20.537,69.301
20.536,69.327
20.548,69.572
20.553,69.711
20.562,69.661
20.563,69.653
20.566,69.683
20.576,69.722
20.578,69.956
20.589,70.261
20.594,69.939
20.618,70.018
20.621,70.011
20.617,69.938
20.634,70.21
20.635,70.422
20.65,70.163
20.66,70.823
20.665,70.381
20.674,70.93
20.688,70.164
20.702,70.455
20.709,70.414
20.714,70.762
20.724,70.761
20.723,70.796
20.722,70.929
20.736,71.001
20.739,70.845
20.752,71.021
20.752,71.072
20.776,71.029
