# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-143429 050Mg 500NaCl #012-001
# Original file ID: F98106BC-4D34-4225-9391-13E7A02B3DB0
Bead-to-bead distance (um),Force (pN)
15.054,0.36656
15.069,0.44847
15.07,0.41569
15.086,0.34129
15.103,0.6162
15.108,0.36663
15.106,0.35425
15.115,0.64265
15.124,0.41001
15.134,0.54623
15.14,0.49906
15.145,0.69837
15.163,0.51356
15.16,0.38758
15.176,0.2407
15.195,0.44162
15.199,0.43565
15.206,0.55821
15.219,0.39446
15.225,0.46279
15.238,0.48779
15.24,0.44882
15.256,0.54556
15.251,0.60981
15.273,0.51699
15.272,0.61447
15.291,0.65308
15.292,0.42793
15.291,0.48453
15.304,0.56718
15.309,0.58635
15.323,0.50903
15.328,0.78508
15.335,0.64919
15.347,0.29528
15.367,0.55704
15.367,0.60331
15.367,0.60495
15.381,0.63208
15.385,0.78107
15.404,0.77842
15.415,0.66559
15.417,0.58261
15.43,0.49362
15.442,0.71862
15.44,0.71823
15.44,0.65498
15.456,0.73027
15.459,0.62399
15.473,0.73763
15.476,0.61762
15.494,0.56999
15.497,0.76263
15.513,0.58332
15.511,0.64587
15.529,0.59897
15.534,0.43229
15.542,0.79698
15.552,0.71436
15.561,0.58924
15.574,0.72127
15.572,0.7993
15.573,0.5979
15.589,0.63461
15.591,0.7315
15.603,0.48925
15.607,0.82857
15.607,0.89965
15.618,0.76582
15.625,0.49265
15.632,0.66092
15.64,0.85362
15.648,0.88012
15.667,0.76093
15.679,0.57544
15.681,0.7886
15.703,0.84629
15.697,0.59212
15.696,0.50709
15.712,0.82824
15.718,0.74035
15.721,0.79965
15.733,0.639
15.747,0.75807
15.756,0.55638
15.762,0.65386
15.774,0.49434
15.776,0.62256
15.793,0.84342
15.795,0.60738
15.809,0.67556
15.811,0.57242
15.825,0.76411
15.827,0.58339
15.831,0.62403
15.837,0.79426
15.851,0.66273
15.853,0.77016
15.865,0.60242
15.864,0.6847
15.869,0.74878
15.885,0.71835
15.883,0.70753
15.904,0.77375
15.902,0.83209
15.918,0.56443
15.937,0.67033
15.943,0.42037
15.952,0.74039
15.959,0.6526
15.959,0.77409
15.962,0.71916
15.979,0.80838
15.982,0.53932
15.996,0.70076
16.001,0.72465
16.017,0.79976
16.019,0.76979
16.032,0.76642
16.034,0.6166
16.054,0.75655
16.057,0.72736
16.069,0.68339
16.073,0.88612
16.085,0.53471
16.088,0.93565
16.091,0.56404
16.091,0.74126
16.11,0.78432
16.108,0.7645
16.128,0.78822
16.128,0.81027
16.128,0.66646
16.143,0.69462
16.145,0.77966
16.163,0.77456
16.162,0.74064
16.181,0.65712
16.196,0.74435
16.198,0.66423
16.203,0.99514
16.213,0.7779
16.218,0.76689
16.222,0.88067
16.239,0.73988
16.254,0.73234
16.259,0.8006
16.273,0.88313
16.281,0.70019
16.291,0.6594
16.294,0.71449
16.307,0.77195
16.318,0.85369
16.32,0.83717
16.333,0.86919
16.329,0.80726
16.337,0.84108
16.349,0.68899
16.351,0.73927
16.367,0.95563
16.385,0.82076
16.389,0.66921
16.4,0.84821
16.409,0.74721
16.406,0.84994
16.411,0.88929
16.412,0.78153
16.429,0.85906
16.447,0.76219
16.448,0.80971
16.464,0.91077
16.464,0.79094
16.458,0.73853
16.476,0.77623
16.495,0.67573
16.502,0.82449
16.507,0.92099
16.518,0.71041
16.523,0.69719
16.536,0.81279
16.538,0.78241
16.553,0.71649
16.559,0.76454
16.573,0.6047
16.577,0.64488
16.577,0.83784
16.59,0.8451
16.597,0.63652
16.605,0.64952
16.616,0.6382
16.631,0.70844
16.634,0.82525
16.629,0.63168
16.651,0.70228
16.65,0.95155
16.669,0.89644
16.681,0.99416
16.685,0.97313
16.699,0.98283
16.707,1.032
16.716,0.94555
16.723,0.78967
16.725,1.2061
16.728,1.1199
16.746,0.9072
16.742,1.1767
16.762,0.96574
16.778,1.0468
16.78,0.86557
16.797,0.95762
16.803,0.96587
16.806,1.0643
16.818,1.1307
16.823,0.95588
16.838,0.76575
16.84,0.98118
16.839,1.024
16.857,1.0633
16.856,1.0379
16.871,1.3381
16.876,0.98437
16.883,1.1236
16.894,0.90438
16.903,1.3569
16.916,1.2816
16.931,1.2007
16.931,1.2436
16.951,1.289
16.951,1.0534
16.971,1.0798
16.967,1.1123
16.982,1.1157
16.987,1.0243
16.986,1.0601
17,1.2781
17.009,1.1992
17.009,1.2442
17.027,1.1408
17.037,1.0735
17.042,1.2537
17.055,1.3191
17.062,1.265
17.059,1.0769
17.068,1.2581
17.085,1.1876
17.095,1.2728
17.102,1.179
17.119,1.0447
17.119,1.2116
17.116,1.1392
17.118,1.2299
17.138,1.0609
17.134,1.0741
17.144,1.4652
17.158,1.2997
17.172,1.2221
17.173,1.0209
17.193,1.1545
17.192,1.1944
17.208,1.1704
17.212,1.0633
17.227,1.2936
17.226,1.1244
17.245,1.0736
17.246,1.1071
17.244,1.3329
17.259,1.2373
17.262,1.0762
17.272,1.1928
17.291,1.2687
17.3,1.0379
17.304,1.2437
17.318,1.0776
17.316,0.96796
17.336,1.1076
17.336,1.2372
17.353,1.4514
17.373,1.2196
17.373,1.4222
17.373,1.2327
17.387,1.1845
17.391,1.0482
17.398,1.3425
17.41,1.4044
17.413,1.4604
17.429,1.4154
17.444,1.2139
17.446,1.206
17.464,1.3806
17.465,1.4645
17.478,1.4125
17.482,1.3564
17.49,1.1441
17.501,1.2618
17.509,1.4304
17.516,1.3951
17.518,1.3433
17.518,1.2599
17.533,1.2491
17.533,1.3775
17.553,1.5024
17.571,1.0427
17.568,1.3724
17.583,1.573
17.587,1.4442
17.587,1.6531
17.595,1.4741
17.608,1.5062
17.625,1.4843
17.627,1.7679
17.642,1.5011
17.641,1.5875
17.641,1.6425
17.64,1.8716
17.661,1.6265
17.659,1.7355
17.668,1.5509
17.683,1.6518
17.695,1.7073
17.697,1.8999
17.714,1.7116
17.715,1.8911
17.732,2.038
17.732,1.8433
17.747,1.8812
17.75,1.9631
17.764,2.2312
17.764,1.9881
17.782,2.2537
17.783,2.1578
17.78,1.921
17.779,1.8958
17.798,1.9422
17.807,2.172
17.816,2.0508
17.818,1.9406
17.84,2.1974
17.836,2.0066
17.836,2.1385
17.853,1.9789
17.863,2.0953
17.869,2.1585
17.879,2.1553
17.887,2.3245
17.89,2.2883
17.897,2.4026
17.912,2.3828
17.927,2.3178
17.943,2.2606
17.944,2.3195
17.963,2.5741
17.967,2.529
17.974,2.4223
17.978,2.4747
17.99,2.4109
17.998,2.5746
18.006,2.3073
18.017,2.5542
18.025,2.166
18.035,2.4888
18.033,2.5557
18.034,2.5532
18.052,2.6097
18.069,2.5455
18.069,2.5713
18.088,2.8453
18.09,2.5065
18.089,2.9816
18.107,2.7807
18.119,2.7797
18.126,2.6925
18.132,2.8337
18.143,2.76
18.144,2.6815
18.147,2.6221
18.154,2.682
18.162,2.8488
18.163,2.9254
18.18,3.0029
18.204,3.1285
18.201,3.3262
18.216,3.2527
18.218,3.261
18.228,3.1126
18.239,3.2434
18.246,3.1136
18.258,3.2124
18.265,3.253
18.277,3.387
18.281,3.2703
18.295,3.1493
18.292,3.5065
18.292,3.452
18.309,3.5427
18.313,3.2273
18.329,3.5372
18.339,3.3664
18.346,3.4302
18.35,3.5044
18.357,3.6197
18.373,3.5451
18.388,3.744
18.389,3.8337
18.406,3.6401
18.403,3.8582
18.422,3.7558
18.42,3.8603
18.43,3.7369
18.442,3.8672
18.442,4.0629
18.443,4.0136
18.462,3.96
18.464,3.9061
18.479,4.0527
18.481,3.9746
18.495,4.1715
18.498,4.3124
18.513,4.2032
18.514,4.1838
18.53,4.6062
18.53,4.2623
18.544,4.5021
18.552,4.4175
18.561,4.4009
18.569,4.6097
18.566,4.3913
18.573,4.5717
18.585,4.508
18.585,4.7424
18.605,4.7644
18.604,4.8135
18.6,4.9004
18.619,5.0373
18.634,4.9787
18.642,4.9986
18.648,5.0915
18.657,5.1719
18.665,5.4323
18.681,5.2391
18.689,5.5047
18.692,5.5113
18.694,5.5101
18.711,5.6553
18.727,5.8404
18.726,5.9098
18.739,5.8701
18.747,6.0905
18.754,6.1467
18.759,6.2045
18.769,6.0635
18.777,6.3726
18.787,6.4376
18.796,6.8496
18.802,6.6207
18.813,6.7934
18.813,6.8167
18.828,6.8631
18.828,6.6357
18.828,6.9966
18.842,7.074
18.846,7.1457
18.854,7.2427
18.864,7.1055
18.863,7.3585
18.862,7.4923
18.87,7.6558
18.883,7.8064
18.896,7.9313
18.902,7.8658
18.915,7.8586
18.914,8.0766
18.93,8.1555
18.931,8.1893
18.933,8.5299
18.942,8.6916
18.952,8.7091
18.963,8.91
18.967,8.9085
18.982,9.2329
18.983,9.1841
18.998,9.5844
18.995,9.4604
19.011,9.4949
19.014,9.7121
