# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-144939 150Mg 500NaCl #001-001
# Original file ID: 20487637-621C-4FA4-AA35-866E65754ECD
Bead-to-bead distance (um),Force (pN)
15.051,1.2158
15.056,1.2378
15.073,1.234
15.069,1.1875
15.09,1.2701
15.088,1.2958
15.104,1.0675
15.108,1.0928
15.109,1.2092
15.12,1.2076
15.14,1.1616
15.146,1.058
15.148,1.3714
15.168,1.2537
15.162,1.3176
15.163,1.1802
15.159,1.1518
15.165,1.2551
15.167,1.0533
15.179,1.019
15.195,1.2495
15.2,1.3257
15.214,1.3634
15.223,1.3795
15.216,1.4192
15.224,1.3001
15.24,1.1607
15.255,1.428
15.257,1.3973
15.269,1.2603
15.277,1.3176
15.294,1.4186
15.292,1.3356
15.307,1.4567
15.312,1.1906
15.311,1.4539
15.323,1.3831
15.34,1.3316
15.35,1.3188
15.353,1.1739
15.369,1.3014
15.367,1.3109
15.368,1.3388
15.384,1.4183
15.387,1.4304
15.403,1.5246
15.406,1.3526
15.413,1.3065
15.43,1.408
15.436,1.2944
15.447,1.3804
15.462,1.3633
15.463,1.4537
15.481,1.4905
15.481,1.61
15.498,1.6621
15.502,1.5368
15.495,1.3363
15.506,1.6153
15.523,1.2231
15.535,1.5408
15.538,1.5389
15.552,1.6221
15.556,1.4675
15.567,1.4335
15.576,1.6454
15.583,1.4743
15.589,1.4957
15.603,1.4806
15.608,1.4819
15.623,1.3592
15.624,1.3277
15.632,1.5898
15.646,1.4498
15.648,1.3854
15.645,1.8004
15.649,1.6215
15.666,1.5217
15.681,1.703
15.687,1.6321
15.69,1.6314
15.702,1.4951
15.713,1.8388
15.716,1.3929
15.729,1.6509
15.74,1.5706
15.742,1.6197
15.759,1.6997
15.761,1.5592
15.778,1.5959
15.773,1.7081
15.78,1.5106
15.789,1.4208
15.791,1.7335
15.804,1.4942
15.81,1.6725
15.821,1.5798
15.839,1.4335
15.845,1.4735
15.852,1.5578
15.865,1.5494
15.873,1.6234
15.867,1.4824
15.891,1.6641
15.889,1.4238
15.907,1.3774
15.905,1.6724
15.922,1.4597
15.926,1.6091
15.943,1.56
15.951,1.498
15.966,1.5029
15.963,1.4431
15.981,1.537
15.982,1.352
16.003,1.6629
15.997,1.3762
16.018,1.5009
16.017,1.4496
16.029,1.5875
16.041,1.4861
16.034,1.6409
16.044,1.5403
16.053,1.6133
16.055,1.6309
16.077,1.4861
16.076,1.6097
16.089,1.4657
16.104,1.526
16.109,1.2485
16.128,1.4894
16.129,1.3359
16.131,1.4091
16.124,1.4516
16.135,1.6572
16.152,1.6075
16.164,1.701
16.166,1.5055
16.165,1.4228
16.182,1.5048
16.194,1.4645
16.204,1.5576
16.212,1.5616
16.224,1.2408
16.23,1.4901
16.247,1.5147
16.242,1.4575
16.258,1.5424
16.256,1.6123
16.276,1.5553
16.275,1.4653
16.303,1.5545
16.296,1.6689
16.303,1.5836
16.317,1.4618
16.315,1.632
16.326,1.6495
16.341,1.5172
16.355,1.614
16.358,1.743
16.368,1.7583
16.374,1.7878
16.391,1.4629
16.397,1.7424
16.411,1.5505
16.423,1.6631
16.424,1.7226
16.445,1.5021
16.444,1.6738
16.451,1.9059
16.457,1.3958
16.469,1.821
16.488,1.7142
