# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-145759 150Mg 500NaCl #002-001
# Original file ID: E8B86DD2-BB2C-4965-937A-4BA90B200509
Bead-to-bead distance (um),Force (pN)
15.058,0.91017
15.071,0.84349
15.076,0.87869
15.088,0.95377
15.096,0.79635
15.105,0.75409
15.118,0.8889
15.125,0.65595
15.132,0.58495
15.142,0.92535
15.155,0.8044
15.161,0.82444
15.172,0.82276
15.178,0.84525
15.188,0.72
15.191,0.76798
15.191,0.73807
15.188,0.83455
15.208,0.89341
15.227,1.0693
15.225,0.95739
15.231,0.93199
15.245,1.0269
15.245,0.87713
15.257,1.0797
15.268,0.98618
15.275,1.0164
15.297,0.67363
15.304,1.0938
15.31,1.2162
15.32,1.3304
15.32,1.1863
15.319,1.0727
15.337,1.0555
15.342,0.92435
15.354,0.90581
15.357,1.0225
15.373,1.0596
15.376,1.1159
15.392,1.0855
15.395,1.0581
15.401,0.91199
15.414,1.0381
15.424,1.0747
15.434,1.2853
15.435,1.0719
15.453,0.94444
15.451,1.2228
15.451,1.0968
15.465,0.86225
15.47,1.0598
15.486,1.0793
15.491,0.98945
15.486,0.97541
15.488,0.98324
15.501,1.0657
15.519,0.92229
15.525,0.97374
15.531,1.1799
15.543,1.0932
15.541,1.118
15.561,1.1784
15.56,1.0161
15.561,1.0265
15.577,1.035
15.59,0.8889
15.597,1.0009
15.612,0.9954
15.619,1.2954
15.629,1.1119
15.637,1.0361
15.643,1.0192
15.652,1.0059
15.658,0.89951
15.674,1.1648
15.675,1.0085
15.672,0.96997
15.678,1.2286
15.696,1.0982
15.691,1.0347
15.707,1.2399
15.712,1.0513
15.723,1.1007
15.741,1.1085
15.745,0.97162
15.76,0.97265
15.768,1.0937
15.775,1.1568
15.784,1.1835
15.789,1.1304
15.8,1.1001
15.805,1.2238
15.821,1.1564
15.823,1.2959
15.82,0.97135
15.838,1.1127
15.839,1.0085
15.856,1.2544
15.863,1.1122
15.878,1.3679
15.88,0.95071
15.896,1.0918
15.897,1.2276
15.898,1.115
15.91,0.82211
15.927,1.0518
15.936,0.91725
15.949,1.0227
15.952,1.0008
15.956,1.2616
15.952,1.1811
15.959,1.0675
15.973,1.2203
15.975,1.2456
15.991,1.2564
16.005,1.1017
16.009,1.0801
16.024,1.2541
16.027,1.265
16.041,1.2474
16.047,1.1834
16.051,1.1286
16.065,1.1294
16.069,1.0847
16.083,1.208
16.081,1.0985
16.083,1.216
16.103,1.1229
16.103,1.209
16.114,1.1502
16.13,0.8791
16.139,1.2352
16.141,1.0082
16.144,0.96271
16.161,1.172
16.175,0.99696
16.179,1.0625
16.178,1.1095
16.192,1.2219
16.197,0.9967
